98
3.013, 0.249, 3.013, 0.389
7.029, 0.000
7.782, 0.000
6.778, 0.016
7.782, 0.016
7.866, 0.016
3.180, 0.031
3.264, 0.031
4.770, 0.031
6.695, 0.031
7.029, 0.031
7.615, 0.031
3.347, 0.047
4.351, 0.047
4.854, 0.047
1.506, 0.062
3.264, 0.062
4.435, 0.062
0.251, 0.078
1.255, 0.078
4.519, 0.078
4.603, 0.093
1.255, 0.109
1.506, 0.109
4.854, 0.109
7.699, 0.109
0.000, 0.124
0.084, 0.124
0.335, 0.124
1.004, 0.124
4.854, 0.124
7.531, 0.124
7.615, 0.124
7.699, 0.124
0.000, 0.140
0.418, 0.140
4.100, 0.140
7.866, 0.140
8.117, 0.140
0.418, 0.155
1.172, 0.155
1.506, 0.155
3.933, 0.155
5.690, 0.155
5.858, 0.155
7.448, 0.155
7.699, 0.155
0.335, 0.171
1.423, 0.171
3.933, 0.171
4.854, 0.171
1.590, 0.187
2.678, 0.187
3.096, 0.187
3.180, 0.187
5.356, 0.187
3.013, 0.202
3.180, 0.202
3.849, 0.202
7.615, 0.202
0.167, 0.218
1.757, 0.218
5.523, 0.218
5.690, 0.218
0.251, 0.233
0.335, 0.233
1.255, 0.233
0.502, 0.249
1.255, 0.249
2.678, 0.249
2.845, 0.249
5.523, 0.249
5.774, 0.249
0.502, 0.264
1.757, 0.264
5.356, 0.264
5.607, 0.264
5.774, 0.311
5.858, 0.311
8.117, 0.327
8.285, 0.327
8.033, 0.342
8.117, 0.342
8.201, 0.342
0.251, 0.358
0.251, 0.373
0.418, 0.389
3.180, 0.389
7.782, 0.389
0.251, 0.404
0.586, 0.404
0.669, 0.404
3.013, 0.404
7.782, 0.404
8.201, 0.404
0.251, 0.420
8.033, 0.420
0.753, 0.435
0.251, 0.451
